portal_url	title_raw	text_raw	mentions_disease	about_patient	title_toks	text_toks
medmon.semanticlab.net/doc/4722340648221492447/Jacqueline	❄Jacqueline	@TheRoyalHam @WrightBlan @ProudResister Every year for me. My niece's son has Angelman's Syndrome and is severely autistic. He takes part in the Special Olympics every year. They also have them at our local university here in Kentucky and it's a huge event. 	1	1	❄|Jacqueline	@TheRoyalHam|@WrightBlan|@ProudResister|Every|year|for|me|.|My|niece's|son|has|Angelman's|Syndrome|and|is|severely|autistic|.|He|takes|part|in|the|Special|Olympics|every|year|.|They|also|have|them|at|our|local|university|here|in|Kentucky|and|it's|a|huge|event|.
medmon.semanticlab.net/doc/4722158894447398050/Angelman-UK	Angelman UK	Are you wearing purple today? People with Angelman Syndrome frequently struggle with maintaining control of seizures from an early age. 	1	1	Angelman|UK	Are|you|wearing|purple|today|?|People|with|Angelman|Syndrome|frequently|struggle|with|maintaining|control|of|seizures|from|an|early|age|.
medmon.semanticlab.net/doc/4721898263969116480/Angelman-Biomarkers	Angelman Biomarkers	Update from ASN: Study Finds Differences in Brain Activity Based on Genotype in Angelman Patients https://t.co/sxD0XtQHi8 AngelmanSyndromeNews https://t.co/CljwkgnUvT. 	1	0	Angelman|Biomarkers	Update|from|ASN|:|Study|Finds|Differences|in|Brain|Activity|Based|on|Genotype|in|Angelman|Patients|https://t.co/sxD0XtQHi8|AngelmanSyndromeNews|https://t.co/CljwkgnUvT|.
medmon.semanticlab.net/doc/4721259266689293742/Newstalk	Newstalk	"The mother of a boy with Angelman Syndrome has told @BreakfastNT his diagnosis was discovered thanks to an ""on the ball"" consultant: https://t.co/ViMmJnjJkk https://t.co/VamaswIY6N. "	1	1	Newstalk	"The|mother|of|a|boy|with|Angelman|Syndrome|has|told|@BreakfastNT|his|diagnosis|was|discovered|thanks|to|an|""|on|the|ball|""|consultant|:|https://t.co/ViMmJnjJkk|https://t.co/VamaswIY6N|."
medmon.semanticlab.net/doc/4721116719630158412/Ciara-McDonagh	Ciara McDonagh	"""Without a diagnosis, you think you're the problem"" - The mother of a baby diagnosed with Angelman Syndrome has praised her 'on the ball' consultant: https://t.co/ViMmJnjJkk https://t.co/BxfWLnb24j. "	1	1	Ciara|McDonagh	"""|Without|a|diagnosis|,|you|think|you're|the|problem|""|-|The|mother|of|a|baby|diagnosed|with|Angelman|Syndrome|has|praised|her|'|on|the|ball|'|consultant|:|https://t.co/ViMmJnjJkk|https://t.co/BxfWLnb24j|."
medmon.semanticlab.net/doc/4720971718059834550/Tes-Brouns	Tes Brouns	@Bill_Maxwell_ That has to just about make your heart burst with happiness. My niece has a son with angelman syndrome and he's non verbal. He enjoys participating in activities and looks just as happy. It's difficult and rewarding all at the same time. 	1	1	Tes|Brouns	@Bill_Maxwell_|That|has|to|just|about|make|your|heart|burst|with|happiness|.|My|niece|has|a|son|with|angelman|syndrome|and|he's|non|verbal|.|He|enjoys|participating|in|activities|and|looks|just|as|happy|.|It's|difficult|and|rewarding|all|at|the|same|time|.
medmon.semanticlab.net/doc/4718314457390490674/AngelmanSyndromeFdn	AngelmanSyndromeFdn	The ASF is excited to officially announce the Buenos Aires AS Clinic has joined the ASF AS Clinic Network! Thank yo… https://t.co/nOyVdzWrnS. 	1	0	AngelmanSyndromeFdn	The|ASF|is|excited|to|officially|announce|the|Buenos|Aires|AS|Clinic|has|joined|the|ASF|AS|Clinic|Network|!|Thank|yo|…|https://t.co/nOyVdzWrnS|.
medmon.semanticlab.net/doc/4716997738537235400/MJ	MJ	Update from ASN: Gender Should Be Considered When Treating Angelman, Mouse Study Suggests https://t.co/xEHxaCD59j AngelmanSyndromeNews https://t.co/tFsdwjXKyr. 	1	0	MJ	Update|from|ASN|:|Gender|Should|Be|Considered|When|Treating|Angelman|,|Mouse|Study|Suggests|https://t.co/xEHxaCD59j|AngelmanSyndromeNews|https://t.co/tFsdwjXKyr|.
medmon.semanticlab.net/doc/4716850277189164708/Re:-Angelman-Syndrome-Foundation	Re: Angelman Syndrome Foundation	Where can I find more information on the work being done for those already living with AS in regards to the use of CRISPR. I'd like to read up more on the work being done for those already living with AS. 	1	0	Re|:|Angelman|Syndrome|Foundation	Where|can|I|find|more|information|on|the|work|being|done|for|those|already|living|with|AS|in|regards|to|the|use|of|CRISPR|.|I'd|like|to|read|up|more|on|the|work|being|done|for|those|already|living|with|AS|.
medmon.semanticlab.net/doc/4716850277160506675/Re:-Angelman-Syndrome-Foundation	Re: Angelman Syndrome Foundation	Natasha James --don't wait for a cure to do that! Go out for a short walk, if she's able or a trip in her stroller/wheelchair, if she's not. Help her with sign language or model AAC with her! Angels are surely finding ways to communicate. 	1	1	Re|:|Angelman|Syndrome|Foundation	Natasha|James|-|-|don't|wait|for|a|cure|to|do|that|!|Go|out|for|a|short|walk|,|if|she's|able|or|a|trip|in|her|stroller|/|wheelchair|,|if|she's|not|.|Help|her|with|sign|language|or|model|AAC|with|her|!|Angels|are|surely|finding|ways|to|communicate|.
medmon.semanticlab.net/doc/4715041399224160557/Bioinformatics-News	Bioinformatics News	Electrophysiological Phenotype in Angelman Syndrome Differs Between Genotypes.: Angelman syndrome AS is a severe neurodevelopmental disorder caused by either disruptions of the gene UBE3A or deletion of chromosome 15 at 15q11q13 which encompasses UBE3A… https://t.co/1yWf4H1wY4 https://t.co/RZBnrlu11n. 	1	0	Bioinformatics|News	Electrophysiological|Phenotype|in|Angelman|Syndrome|Differs|Between|Genotypes|.|:|Angelman|syndrome|AS|is|a|severe|neurodevelopmental|disorder|caused|by|either|disruptions|of|the|gene|UBE|3A|or|deletion|of|chromosome|15|at|15q11q13|which|encompasses|UBE|3A|…|https://t.co/1yWf4H1wY4|https://t.co/RZBnrlu11n|.
medmon.semanticlab.net/doc/4716850300063056446/Re:-Angelman-Syndrome-Ireland	Re: Angelman Syndrome Ireland	i ❤ someone with angelman syndrome and he is the lightvof my life xxxx. 	1	1	Re|:|Angelman|Syndrome|Ireland	i|❤|someone|with|angelman|syndrome|and|he|is|the|lightvof|my|life|xxxx|.
medmon.semanticlab.net/doc/4712133578199111439/LucidQuest	LucidQuest	Gene therapy in utero could cure rare brain disease Angelman syndrome - BioNews https://t.co/1K25RHCjpP &gt;&gt;&gt; https://t.co/HTA6IsoHwv #strategy #competitiveintelligence #marketing #pharmaceutical #CI #pharma #biotech #healthcare. 	1	0	LucidQuest	Gene|therapy|in|utero|could|cure|rare|brain|disease|Angelman|syndrome|-|BioNews|https://t.co/1K25RHCjpP|>|>|>|https://t.co/HTA6IsoHwv|#strategy|#competitiveintelligence|#marketing|#pharmaceutical|#CI|#pharma|#biotech|#healthcare|.
medmon.semanticlab.net/doc/4710225328815229726/CareyS	CareyS	Great article on the cutting-edge research being funded by the Angelman Syndrome Foundation! This approach from Mark Zylka's lab uses CRISPR technology to activate paternal UBE3A. This could provide a permanent treatment or cure for AS! https://t.co/9J37d5TOUp. 	1	0	CareyS	Great|article|on|the|cutting-edge|research|being|funded|by|the|Angelman|Syndrome|Foundation|!|This|approach|from|Mark|Zylka's|lab|uses|CRISPR|technology|to|activate|paternal|UBE|3A|.|This|could|provide|a|permanent|treatment|or|cure|for|AS|!|https://t.co/9J37d5TOUp|.
medmon.semanticlab.net/doc/4710097174602656841/ems-goodson	ems goodson	@samrenke 3) my son has Angelman syndrome, the deletion on the maternal chromosome (same number and space as PW on thé paternal chromosome). I’ve met several AS people thriving in assisted living houses & although my son is 2.5, it gave me comfort. I’m 38. I won’t physically be. 	1	1	ems|goodson	@samrenke|3|)|my|son|has|Angelman|syndrome|,|the|deletion|on|the|maternal|chromosome|(|same|number|and|space|as|PW|on|thé|paternal|chromosome|)|.|I|’|ve|met|several|AS|people|thriving|in|assisted|living|houses|&|although|my|son|is|2.5|,|it|gave|me|comfort|.|I|’|m|38|.|I|won|’|t|physically|be|.
medmon.semanticlab.net/doc/4708870690000259992/Dean-Blevins	Dean Blevins	Mark Zylka (UN, Chapel Hill, NC) discussing a possible cure for Angelman syndrome using CRISPR/Cas9 based therapies at the #AAASmtg. Zylka noted there is currently no effective treatment or cure for Angelman... https://t.co/h6eQSVLXRt. 	1	0	Dean|Blevins	Mark|Zylka|(|UN|,|Chapel|Hill|,|NC|)|discussing|a|possible|cure|for|Angelman|syndrome|using|CRISPR|/|Cas|9|based|therapies|at|the|#AAASmtg|.|Zylka|noted|there|is|currently|no|effective|treatment|or|cure|for|Angelman|...|https://t.co/h6eQSVLXRt|.
medmon.semanticlab.net/doc/4708806792892410053/Thinking-Person's-Guide-To-Autism	Thinking Person's Guide To Autism	It's International Angelman syndrome day and our own Erin Sheldon wrote about her daughter with Angelman syndrome and what it is so important to presume competence: #Presumecompetence #Angelmansyndrome #Angelman https://t.co/IPbQryHzgO. 	1	1	Thinking|Person's|Guide|To|Autism	It's|International|Angelman|syndrome|day|and|our|own|Erin|Sheldon|wrote|about|her|daughter|with|Angelman|syndrome|and|what|it|is|so|important|to|presume|competence|:|#Presumecompetence|#Angelmansyndrome|#Angelman|https://t.co/IPbQryHzgO|.
medmon.semanticlab.net/doc/4708477563771439202/ERFP	ERFP	International Angelman Day (IAD). Angelman syndrome is a rare neurogenetic disorder that affects chromosome 15, resulting in intellectual and developmental delay. It affects about 1 in 15,000 people. We celebrate this day each year on the 15th of February. @ERFPeel https://t.co/QPpDlkC4iB. 	1	0	ERFP	International|Angelman|Day|(|IAD|)|.|Angelman|syndrome|is|a|rare|neurogenetic|disorder|that|affects|chromosome|15|,|resulting|in|intellectual|and|developmental|delay|.|It|affects|about|1|in|15,000|people|.|We|celebrate|this|day|each|year|on|the|15th|of|February|.|@ERFPeel|https://t.co/QPpDlkC4iB|.
medmon.semanticlab.net/doc/4708384081714409816/Joseph-D'Orazio	Joseph D'Orazio	Today is Angelman Syndrome Awareness Day and this is my little angel Gabriel. He’s the happiest, cuddliest, empathetic little boy but he struggles with physical/intellectual capabilities. Help bring awareness and life changing treatment. #AngelmanSyndrome https://t.co/L25OOFMSz6 https://t.co/uWmhqB2XRC. 	1	1	Joseph|D'Orazio	Today|is|Angelman|Syndrome|Awareness|Day|and|this|is|my|little|angel|Gabriel|.|He|’|s|the|happiest|,|cuddliest|,|empathetic|little|boy|but|he|struggles|with|physical|/|intellectual|capabilities|.|Help|bring|awareness|and|life|changing|treatment|.|#AngelmanSyndrome|https://t.co/L25OOFMSz6|https://t.co/uWmhqB2XRC|.
medmon.semanticlab.net/doc/4708290690528032545/Rare-Voices-Australia	Rare Voices Australia	February 15th marks International Angelman Day, a day to raise awareness worldwide for Angelman syndrome a rare neuro-genetic disorder. It affects about 1 in 15,000 people. Info can be found at Angelman Syndrome Association Australia: https://t.co/f13KoLfx9g #angelmansyndrome https://t.co/t4BFWIaLPG. 	1	0	Rare|Voices|Australia	February|15th|marks|International|Angelman|Day|,|a|day|to|raise|awareness|worldwide|for|Angelman|syndrome|a|rare|neuro-genetic|disorder|.|It|affects|about|1|in|15,000|people|.|Info|can|be|found|at|Angelman|Syndrome|Association|Australia|:|https://t.co/f13KoLfx9g|#angelmansyndrome|https://t.co/t4BFWIaLPG|.
medmon.semanticlab.net/doc/4707651712496241076/dimity-morris	dimity morris	For those unaware there are several types of Angelman Syndrome a neuro genetic condition. Everyone has two copies of the UBE3A gene, one from their mother and one from their father. In the brain, due... https://t.co/vFa6IXlacr. 	1	0	dimity|morris	For|those|unaware|there|are|several|types|of|Angelman|Syndrome|a|neuro|genetic|condition|.|Everyone|has|two|copies|of|the|UBE|3A|gene|,|one|from|their|mother|and|one|from|their|father|.|In|the|brain|,|due|...|https://t.co/vFa6IXlacr|.
medmon.semanticlab.net/doc/4707651712208335029/dimity-morris	dimity morris	Our individuals with Angelman Syndrome are largely non verbal. Some have a few words. Makaton / BSL etc can be challenging for them due to ataxia (shaking), dyskinesia (involuntary movements) and... https://t.co/KQHvax8774. 	1	1	dimity|morris	Our|individuals|with|Angelman|Syndrome|are|largely|non|verbal|.|Some|have|a|few|words|.|Makaton|/|BSL|etc|can|be|challenging|for|them|due|to|ataxia|(|shaking|)|,|dyskinesia|(|involuntary|movements|)|and|...|https://t.co/KQHvax8774|.
medmon.semanticlab.net/doc/4707273234304000766/Rare-Revolution-Mag	Rare Revolution Mag	There are lots of treatments for epilepsy which is common in individuals with Angelman Syndrome. We posted a video regarding investigation of the use of CBD for those with AS, but there are of course other alternative ways to... https://t.co/mQWdfWF7T3. 	1	0	Rare|Revolution|Mag	There|are|lots|of|treatments|for|epilepsy|which|is|common|in|individuals|with|Angelman|Syndrome|.|We|posted|a|video|regarding|investigation|of|the|use|of|CBD|for|those|with|AS|,|but|there|are|of|course|other|alternative|ways|to|...|https://t.co/mQWdfWF7T3|.
medmon.semanticlab.net/doc/4706452387071628792/Alyssa-LaZarte	Alyssa LaZarte	My brother was diagnosed w/ Angelman Syndrome at age 3. My dad came up w/ the #angelmanchallenge to help spread awareness about this unknown disability. I wanna challenge anyone that has snow to go out in their swimsuit/ swim shorts to make a snow angel & challenge someone else👼🏽 https://t.co/RnevyFbMN7. 	1	1	Alyssa|LaZarte	My|brother|was|diagnosed|w|/|Angelman|Syndrome|at|age|3|.|My|dad|came|up|w|/|the|#angelmanchallenge|to|help|spread|awareness|about|this|unknown|disability|.|I|wanna|challenge|anyone|that|has|snow|to|go|out|in|their|swimsuit|/|swim|shorts|to|make|a|snow|angel|&|challenge|someone|else|👼|🏽|https://t.co/RnevyFbMN7|.
medmon.semanticlab.net/doc/4703613831357020677/Sarax76-LP:-You-are-stunning!	Sarax76 @LP: You are stunning!	Donated a small amount. If you can, please help this family send their 17 month baby, Leo, with Angelman Syndrome to a specialty clinic in Boston. https://t.co/HhSTTr8bN5 https://t.co/1kF8ZD346W. 	1	1	Sarax|76|@LP|:|You|are|stunning|!	Donated|a|small|amount|.|If|you|can|,|please|help|this|family|send|their|17|month|baby|,|Leo|,|with|Angelman|Syndrome|to|a|specialty|clinic|in|Boston|.|https://t.co/HhSTTr8bN5|https://t.co/1kF8ZD346W|.
medmon.semanticlab.net/doc/4702854424521172038/cheryl-woodfin	cheryl woodfin	@TweetingAutism @MaxWiredwith I wish....life is hard, a child with angelman syndrome, a 20 month old beautiful baby and working for the NHS.... you never know though ❤️ Awareness is everything. https://t.co/8mrc2vJspT. 	1	1	cheryl|woodfin	@TweetingAutism|@MaxWiredwith|I|wish|...|life|is|hard|,|a|child|with|angelman|syndrome|,|a|20|month|old|beautiful|baby|and|working|for|the|NHS|...|you|never|know|though|❤|️|Awareness|is|everything|.|https://t.co/8mrc2vJspT|.
medmon.semanticlab.net/doc/4702507898855527102/Rodrigo-Nunes-Cal	Rodrigo Nunes Cal	Angelman syndrome is a genetic disorder that causes developmental disabilities and nerve-related symptoms, including seizures. Although there is no cure, scientists @UNC may have discovered a way to reduce the seizures by replacing a mutant gene in mice. https://t.co/FU1bBvlUhm. 	1	0	Rodrigo|Nunes|Cal	Angelman|syndrome|is|a|genetic|disorder|that|causes|developmental|disabilities|and|nerve-related|symptoms|,|including|seizures|.|Although|there|is|no|cure|,|scientists|@UNC|may|have|discovered|a|way|to|reduce|the|seizures|by|replacing|a|mutant|gene|in|mice|.|https://t.co/FU1bBvlUhm|.
medmon.semanticlab.net/doc/4699794681351901705/Gisselle-Rangel	Gisselle Rangel	My dad comforting my sister (27, Angelman Syndrome), who was in the hospital this weekend. No sleep for days and holding her through her bouts of high anxiety and aggressiveness. My parents are models of strength and endless love. https://t.co/8QR2VWA5sb. 	1	1	Gisselle|Rangel	My|dad|comforting|my|sister|(|27|,|Angelman|Syndrome|)|,|who|was|in|the|hospital|this|weekend|.|No|sleep|for|days|and|holding|her|through|her|bouts|of|high|anxiety|and|aggressiveness|.|My|parents|are|models|of|strength|and|endless|love|.|https://t.co/8QR2VWA5sb|.
medmon.semanticlab.net/doc/4699620189699107098/Michael-MacBride	Michael MacBride	Attempting to induce movement disorders like happy puppet syndrome is not a funny thing to do. You're all fired; go apply to comedy central. #startthepull #startthepush #intothenewmillenium. 	1	0	Michael|MacBride	Attempting|to|induce|movement|disorders|like|happy|puppet|syndrome|is|not|a|funny|thing|to|do|.|You're|all|fired|;|go|apply|to|comedy|central|.|#startthepull|#startthepush|#intothenewmillenium|.
medmon.semanticlab.net/doc/4699217140387321167/Lisa-Tanner-|	Lisa Tanner |	It’s been a crazy week, resulting in an unexpected surgery for my child with Angelman Syndrome. Here’s a recap, plus five tips for emotional recovery afterwards. https://t.co/YxIUnzVe1O. 	1	1	Lisa|Tanner||	It|’|s|been|a|crazy|week|,|resulting|in|an|unexpected|surgery|for|my|child|with|Angelman|Syndrome|.|Here|’|s|a|recap|,|plus|five|tips|for|emotional|recovery|afterwards|.|https://t.co/YxIUnzVe1O|.
medmon.semanticlab.net/doc/4698764935367196457/cheryl-woodfin	cheryl woodfin	@Nataliew1020 This is my baby Jack. He has angelman syndrome, cannot walk or talk and has epilepsy. I think I have managed to change a lot of people's views around here regarding how you treat someone who is disabled....silver linings ❤️❤️❤️ https://t.co/pfDi3fHBw5. 	1	1	cheryl|woodfin	@Nataliew1020|This|is|my|baby|Jack|.|He|has|angelman|syndrome|,|cannot|walk|or|talk|and|has|epilepsy|.|I|think|I|have|managed|to|change|a|lot|of|people's|views|around|here|regarding|how|you|treat|someone|who|is|disabled|...|silver|linings|❤|️|❤|️|❤|️|https://t.co/pfDi3fHBw5|.
medmon.semanticlab.net/doc/4695137430329553013/sharon-chamberlin	sharon chamberlin	RT @catalyst4fitnes: Ketogenic nutrition to be studied in patients with Angelman syndrome https://t.co/fIGygCYl9F. 	1	0	sharon|chamberlin	RT|@catalyst4fitnes|:|Ketogenic|nutrition|to|be|studied|in|patients|with|Angelman|syndrome|https://t.co/fIGygCYl9F|.
medmon.semanticlab.net/doc/4694958024044174964/Stefan-Sullivan	Stefan Sullivan	RT @DominicDAgosti2: Exogenous ketones are being studied to potentially transform the management of Angelman syndrome. https://t.co/2kEBe7T…. 	1	0	Stefan|Sullivan	RT|@DominicDAgosti2|:|Exogenous|ketones|are|being|studied|to|potentially|transform|the|management|of|Angelman|syndrome|.|https://t.co/2kEBe7T…|.
medmon.semanticlab.net/doc/4693756605445993606/NeuroGenetics-papers	NeuroGenetics papers	PubMed: Establishment of human induced pluripotent stem cell line from a patient with Angelman syndrome carrying the deletion of maternal chromosome 15q11.2-q13. https://t.co/BpWlXialLq. 	1	0	NeuroGenetics|papers	PubMed|:|Establishment|of|human|induced|pluripotent|stem|cell|line|from|a|patient|with|Angelman|syndrome|carrying|the|deletion|of|maternal|chromosome|15q11|.|2|-|q13|.|https://t.co/BpWlXialLq|.
medmon.semanticlab.net/doc/4689136493494141862/Kaz-Cubbins	Kaz Cubbins	RT @stevenglenn01: Lovey video message for son Euan on helping his wee brother Jude who has Angelman Syndrome from Mr Colin Farrell http…. 	1	1	Kaz|Cubbins	RT|@stevenglenn01|:|Lovey|video|message|for|son|Euan|on|helping|his|wee|brother|Jude|who|has|Angelman|Syndrome|from|Mr|Colin|Farrell|http|…|.
medmon.semanticlab.net/doc/4687808704022012914/sophie-light	sophie light	As a parent of a beautiful daughter who has Angelman Syndrome I can say life is hard work I have to fight for everything Melissa needs and it is exhausting, it shouldn’t be this way @BBCBreakfast #BBCSEND https://t.co/V8VAtKI23M. 	1	1	sophie|light	As|a|parent|of|a|beautiful|daughter|who|has|Angelman|Syndrome|I|can|say|life|is|hard|work|I|have|to|fight|for|everything|Melissa|needs|and|it|is|exhausting|,|it|shouldn|’|t|be|this|way|@BBCBreakfast|#BBCSEND|https://t.co/V8VAtKI23M|.
medmon.semanticlab.net/doc/4684970057445888766/Simon-Howton	Simon Howton	@achrisevans Hi Chris, Professor Chris mentioned stem cell research, my daughter has Angelman syndrome does he know if any stem cell research has been covered in the uk. 	1	1	Simon|Howton	@achrisevans|Hi|Chris|,|Professor|Chris|mentioned|stem|cell|research|,|my|daughter|has|Angelman|syndrome|does|he|know|if|any|stem|cell|research|has|been|covered|in|the|uk|.
medmon.semanticlab.net/doc/4684146711584321140/Lisa-Tanner-|	Lisa Tanner |	5 Things My Son with Angelman Syndrome Taught Me About Christmas https://t.co/ZJbfdPewpp https://t.co/jq9PWUUESC. 	1	1	Lisa|Tanner||	5|Things|My|Son|with|Angelman|Syndrome|Taught|Me|About|Christmas|https://t.co/ZJbfdPewpp|https://t.co/jq9PWUUESC|.
